Country,Region,Date,Gender,Population_Density,Health_Expenditure_Govt,Health_Expenditure_Pvt,Health_Expenditure_Indv,Life_Expectancy,Education_Expenditure,Mean_years_in_school,Average_Income,Employment_Rate,Income_Inequality,Child_Mortality_Rate,Adult_Mortality_Rate,Suicides,Murders
Jordan,NEAR EAST                          ,2005,Female,64.4,48.0,52.0,40.1,74.2,4.02,11.3,978.0,0.0,36.9,421.0,0.0,166.0,214.0
Kazakhstan,C.W. OF IND. STATES ,2005,Female,5.76,50.9,49.1,34.5,71.1,2.34,11.6,1160.0,0.0,35.3,497.0,0.0,6280.0,3120.0
Kenya,SUB-SAHARAN AFRICA                 ,2005,Female,63.3,46.3,53.7,45.0,57.4,6.49,7.83,892.0,0.0,54.1,508.0,0.0,1630.0,2720.0
Kiribati,OCEANIA                            ,2005,Female,114.0,94.6,5.4,0.118,67.9,6.1,9.39,558.0,0.0,37.0,429.0,0.0,21.1,3.07
Kuwait,NEAR EAST                          ,2005,Female,128.0,76.0,24.0,18.2,74.6,4.02,10.8,1160.0,0.0,40.0,500.0,0.0,73.0,41.1
Lao,ASIA (EX. NEAR EAST)         ,2005,Female,24.9,35.1,64.9,43.7,63.1,1.05,5.47,866.0,0.0,32.6,419.0,0.0,604.0,38.5
Latvia,BALTICS                            ,2005,Female,36.2,54.4,45.6,41.7,76.6,4.39,11.3,763.0,0.0,45.0,405.0,0.0,703.0,250.0
Lebanon,NEAR EAST                          ,2005,Female,390.0,32.6,67.4,47.3,78.7,2.5,10.0,1090.0,0.0,47.5,448.0,0.0,109.0,139.0
Lesotho,SUB-SAHARAN AFRICA                 ,2005,Female,64.2,51.2,48.8,34.4,47.4,8.68,8.85,396.0,0.0,56.0,407.0,0.0,453.0,641.0
Liberia,SUB-SAHARAN AFRICA                 ,2005,Female,33.9,26.4,73.6,72.5,55.9,3.75,3.89,799.0,0.0,36.5,429.0,0.0,249.0,80.4
Libya,NORTHERN AFRICA                    ,2005,Female,3.29,57.2,42.8,35.3,73.7,2.14,6.17,1050.0,0.0,40.0,405.0,0.0,244.0,117.0
Lithuania,BALTICS                            ,2005,Female,53.4,69.7,30.3,32.8,77.7,4.6,10.8,1290.0,0.0,44.6,459.0,0.0,1560.0,358.0
Luxembourg,WESTERN EUROPE                     ,2005,Female,177.0,85.1,14.9,12.9,81.8,4.34,11.1,1460.0,0.0,33.8,357.0,0.0,62.5,6.18
Madagascar,SUB-SAHARAN AFRICA                 ,2005,Female,31.5,66.5,33.5,35.4,62.5,2.67,4.93,574.0,0.0,38.8,437.0,0.0,997.0,409.0
Malawi,SUB-SAHARAN AFRICA                 ,2005,Female,138.0,45.8,54.2,9.1,51.4,3.68,4.97,351.0,0.0,44.8,440.0,0.0,779.0,388.0
Malaysia,ASIA (EX. NEAR EAST)         ,2005,Female,78.1,59.0,41.0,38.3,75.8,4.7,11.1,999.0,0.0,20.0,436.0,0.0,1810.0,634.0
Maldives,ASIA (EX. NEAR EAST)         ,2005,Female,1060.0,58.5,41.5,55.7,75.8,4.32,7.42,844.0,0.0,41.3,448.0,0.0,10.5,3.11
Mali,SUB-SAHARAN AFRICA                 ,2005,Female,10.5,32.9,67.1,57.8,52.7,3.52,1.78,604.0,0.0,49.2,494.0,0.0,387.0,301.0
Malta,WESTERN EUROPE                     ,2005,Female,1270.0,72.5,27.5,28.8,80.6,5.12,9.67,783.0,0.0,28.0,447.0,0.0,22.6,5.51
Marshall Islands,OCEANIA                            ,2005,Female,289.0,88.0,12.0,7.85,0.0,6.51,8.69,544.0,0.0,40.0,134.0,0.0,9.72,3.63
Mauritania,SUB-SAHARAN AFRICA                 ,2005,Female,3.04,66.5,33.5,68.8,62.3,2.34,4.41,529.0,0.0,40.3,417.0,0.0,93.9,64.5
Mauritius,SUB-SAHARAN AFRICA                 ,2005,Female,602.0,52.0,48.0,49.6,75.8,3.54,9.69,942.0,0.0,38.6,428.0,0.0,123.0,35.4
