Country,Region,Date,Gender,Population_Density,Health_Expenditure_Govt,Health_Expenditure_Pvt,Health_Expenditure_Indv,Life_Expectancy,Education_Expenditure,Mean_years_in_school,Average_Income,Employment_Rate,Income_Inequality,Child_Mortality_Rate,Adult_Mortality_Rate,Suicides,Murders
Kiribati,OCEANIA                            ,2010,Female,127.0,94.1,5.93,0.123,68.5,6.1,10.1,560.0,0.0,37.0,421.0,0.0,24.3,3.51
Kuwait,NEAR EAST                          ,2010,Female,168.0,79.8,20.2,13.9,75.1,3.19,11.7,1180.0,0.0,40.0,500.0,0.0,88.8,38.3
Lao,ASIA (EX. NEAR EAST)         ,2010,Female,27.1,12.8,87.2,36.0,65.7,1.49,6.21,867.0,0.0,32.6,419.0,0.0,629.0,41.0
Latvia,BALTICS                            ,2010,Female,34.1,57.1,42.9,37.2,77.8,4.38,11.9,768.0,0.0,45.0,405.0,0.0,554.0,181.0
Lebanon,NEAR EAST                          ,2010,Female,424.0,45.6,54.4,43.6,80.4,1.46,10.9,1100.0,0.0,47.6,448.0,0.0,111.0,135.0
Lesotho,SUB-SAHARAN AFRICA                 ,2010,Female,67.2,53.4,46.6,22.1,52.6,9.73,9.66,397.0,0.0,56.0,407.0,0.0,518.0,694.0
Liberia,SUB-SAHARAN AFRICA                 ,2010,Female,41.0,30.6,69.3,51.0,60.5,3.66,4.48,799.0,0.0,36.5,429.0,0.0,313.0,101.0
Libya,NORTHERN AFRICA                    ,2010,Female,3.51,61.8,38.2,30.0,74.5,2.14,6.92,1050.0,0.0,40.0,405.0,0.0,264.0,119.0
Lithuania,BALTICS                            ,2010,Female,49.8,67.8,32.2,27.6,78.5,5.26,11.4,1300.0,0.0,44.6,459.0,0.0,1290.0,269.0
Luxembourg,WESTERN EUROPE                     ,2010,Female,196.0,84.9,15.1,10.2,82.8,4.92,11.9,1460.0,0.0,33.8,357.0,0.0,60.4,5.56
Madagascar,SUB-SAHARAN AFRICA                 ,2010,Female,36.4,66.4,33.6,36.5,64.9,2.6,5.58,574.0,0.0,38.8,437.0,0.0,1170.0,443.0
Malawi,SUB-SAHARAN AFRICA                 ,2010,Female,161.0,73.9,26.1,10.9,59.3,4.11,5.59,351.0,0.0,44.8,440.0,0.0,906.0,443.0
Malaysia,ASIA (EX. NEAR EAST)         ,2010,Female,85.6,52.0,48.0,34.5,76.6,4.99,11.9,1000.0,0.0,20.0,436.0,0.0,1960.0,627.0
Maldives,ASIA (EX. NEAR EAST)         ,2010,Female,1220.0,64.3,35.7,40.1,77.2,4.62,8.22,845.0,0.0,41.3,444.0,0.0,10.9,3.6
Mali,SUB-SAHARAN AFRICA                 ,2010,Female,12.4,46.5,53.5,69.2,55.9,3.78,2.08,604.0,0.0,49.2,494.0,0.0,438.0,357.0
Malta,WESTERN EUROPE                     ,2010,Female,1300.0,68.6,31.3,33.0,81.5,6.54,10.5,784.0,0.0,28.0,443.0,0.0,24.3,5.4
Marshall Islands,OCEANIA                            ,2010,Female,291.0,82.8,17.2,11.4,0.0,6.51,9.52,545.0,0.0,40.0,134.0,0.0,10.6,4.0
Mauritania,SUB-SAHARAN AFRICA                 ,2010,Female,3.5,62.7,37.3,64.3,63.5,3.19,5.0,529.0,0.0,40.3,417.0,0.0,106.0,72.3
Mauritius,SUB-SAHARAN AFRICA                 ,2010,Female,615.0,47.7,52.3,52.3,77.0,3.38,10.5,943.0,0.0,38.6,428.0,0.0,121.0,39.2
Mexico,LATIN AMER. & CARIB    ,2010,Female,60.4,45.0,55.0,43.4,78.5,5.01,10.4,1380.0,0.0,35.9,487.0,0.0,6670.0,20700.0
"Micronesia, Fed. Sts.",OCEANIA                            ,2010,Female,148.0,93.4,6.61,3.27,69.5,23.6,13.2,524.0,0.0,42.4,395.0,0.0,18.4,6.52
Moldova,C.W. OF IND. STATES ,2010,Female,124.0,45.6,54.4,40.4,73.6,7.72,12.6,623.0,0.0,43.4,382.0,0.0,829.0,338.0
Monaco,WESTERN EUROPE                     ,2010,Female,24900.0,88.2,11.8,5.38,0.0,1.3,0.0,2000.0,0.0,40.0,9.7,0.0,0.0,0.0
Mongolia,ASIA (EX. NEAR EAST)         ,2010,Female,1.75,78.9,21.1,31.3,71.6,4.36,10.2,594.0,0.0,32.0,420.0,0.0,593.0,293.0
Morocco,NORTHERN AFRICA                    ,2010,Female,72.6,28.4,71.6,55.6,75.3,5.2,5.39,716.0,0.0,55.6,403.0,0.0,1810.0,374.0
Mozambique,SUB-SAHARAN AFRICA                 ,2010,Female,30.8,74.5,25.5,8.36,56.6,4.68,4.31,395.0,0.0,52.1,440.0,0.0,1530.0,1720.0
Namibia,SUB-SAHARAN AFRICA                 ,2010,Female,2.64,48.9,51.1,9.53,60.2,8.34,9.13,542.0,0.0,51.4,412.0,0.0,230.0,392.0
Nauru,OCEANIA                            ,2010,Female,501.0,75.7,24.3,2.33,0.0,0.0,0.0,555.0,0.0,40.0,71.1,0.0,0.0,0.0
Nepal,ASIA (EX. NEAR EAST)         ,2010,Female,189.0,31.4,68.6,56.2,69.4,3.14,5.23,656.0,0.0,25.8,407.0,0.0,2960.0,605.0
Netherlands,WESTERN EUROPE                     ,2010,Female,495.0,60.5,31.4,9.82,82.7,4.88,13.4,3640.0,0.0,51.7,324.0,0.0,1890.0,163.0
New Zealand,OCEANIA                            ,2010,Female,16.6,79.7,20.3,12.0,82.7,6.97,14.3,660.0,0.0,38.2,391.0,0.0,524.0,59.4
Nicaragua,LATIN AMER. & CARIB    ,2010,Female,47.7,56.5,43.5,44.5,76.7,4.1,8.58,976.0,0.0,39.4,509.0,0.0,409.0,581.0
Niger,SUB-SAHARAN AFRICA                 ,2010,Female,13.0,50.0,50.0,57.7,57.7,3.4,1.78,447.0,0.0,34.9,433.0,0.0,578.0,370.0
Nigeria,SUB-SAHARAN AFRICA                 ,2010,Female,174.0,29.2,70.8,77.7,51.6,0.85,7.45,881.0,0.0,53.3,438.0,0.0,5700.0,1130.0
North Korea,ASIA (EX. NEAR EAST)         ,2010,Female,204.0,0.0,0.0,0.0,72.9,0.0,12.2,567.0,0.0,37.0,500.0,0.0,3110.0,728.0
Norway,WESTERN EUROPE                     ,2010,Female,13.4,83.5,16.4,15.0,83.3,6.1,13.8,1320.0,0.0,35.0,319.0,0.0,593.0,43.1
Oman,NEAR EAST                          ,2010,Female,9.83,82.3,17.6,10.4,78.2,4.63,9.01,918.0,0.0,40.0,414.0,0.0,81.9,16.3
Pakistan,ASIA (EX. NEAR EAST)         ,2010,Female,221.0,25.6,74.4,70.4,66.1,1.51,4.97,1020.0,0.0,24.5,502.0,0.0,6700.0,9030.0
Palau,OCEANIA                            ,2010,Female,44.5,79.4,20.6,16.8,0.0,0.0,0.0,841.0,0.0,40.0,41.6,0.0,0.0,0.0
Panama,LATIN AMER. & CARIB    ,2010,Female,49.0,69.6,30.4,28.4,80.0,2.83,11.6,850.0,0.0,40.1,406.0,0.0,221.0,606.0
Papua New Guinea,OCEANIA                            ,2010,Female,15.7,79.7,20.3,12.3,67.1,6.9,6.75,548.0,0.0,28.4,424.0,0.0,967.0,533.0
Paraguay,LATIN AMER. & CARIB    ,2010,Female,15.6,38.0,62.0,45.9,74.5,3.79,9.66,837.0,0.0,40.8,374.0,0.0,359.0,838.0
Peru,LATIN AMER. & CARIB    ,2010,Female,22.9,59.4,40.6,39.6,76.4,2.44,10.8,1210.0,0.0,52.7,372.0,0.0,970.0,1060.0
Philippines,ASIA (EX. NEAR EAST)         ,2010,Female,314.0,39.2,60.8,54.8,71.8,1.84,10.8,964.0,0.0,28.5,432.0,0.0,5020.0,13100.0
Poland,EASTERN EUROPE                     ,2010,Female,125.0,69.3,30.6,23.7,80.4,4.99,13.0,1300.0,0.0,29.5,369.0,0.0,7520.0,856.0
Portugal,WESTERN EUROPE                     ,2010,Female,116.0,67.1,32.9,24.6,83.1,5.45,10.5,1690.0,0.0,57.4,373.0,0.0,1430.0,173.0
Qatar,NEAR EAST                          ,2010,Female,153.0,81.3,18.7,18.7,79.0,2.06,10.6,1180.0,0.0,40.0,433.0,0.0,110.0,20.7
Romania,EASTERN EUROPE                     ,2010,Female,88.8,80.8,19.1,19.6,77.6,3.18,12.1,817.0,0.0,40.5,372.0,0.0,2710.0,556.0
Russia,C.W. OF IND. STATES ,2010,Female,8.74,62.0,38.0,35.3,74.9,3.55,12.8,1460.0,0.0,52.6,419.0,0.0,55200.0,28000.0
Rwanda,SUB-SAHARAN AFRICA                 ,2010,Female,415.0,56.4,43.6,10.9,64.9,4.18,5.22,442.0,0.0,42.5,420.0,0.0,615.0,431.0
Samoa,OCEANIA                            ,2010,Female,65.8,81.3,18.7,12.6,76.4,4.24,13.7,1400.0,0.0,42.1,410.0,0.0,21.0,7.85
San Marino,WESTERN EUROPE                     ,2010,Female,519.0,85.7,14.3,17.7,0.0,3.55,0.0,1450.0,0.0,40.0,15.3,0.0,0.0,0.0
Sao Tome and Principe,SUB-SAHARAN AFRICA                 ,2010,Female,182.0,52.9,47.1,21.0,67.8,7.66,6.46,881.0,0.0,32.1,412.0,0.0,3.0,8.52
Saudi Arabia,NEAR EAST                          ,2010,Female,12.8,72.8,27.2,18.9,75.2,7.19,10.2,857.0,0.0,40.0,416.0,0.0,898.0,116.0
Senegal,SUB-SAHARAN AFRICA                 ,2010,Female,67.1,55.3,44.7,50.2,65.7,5.19,3.66,499.0,0.0,53.7,512.0,0.0,848.0,171.0
Serbia,EASTERN EUROPE                     ,2010,Female,103.0,66.0,34.0,36.4,76.8,4.58,10.8,1360.0,0.0,33.7,374.0,0.0,1780.0,269.0
Seychelles,SUB-SAHARAN AFRICA                 ,2010,Female,199.0,93.2,6.8,4.1,77.6,3.63,10.5,853.0,0.0,41.3,374.0,0.0,7.94,6.56
Sierra Leone,SUB-SAHARAN AFRICA                 ,2010,Female,89.5,12.6,87.4,64.0,48.9,2.5,3.96,736.0,0.0,41.2,514.0,0.0,285.0,90.9
Singapore,ASIA (EX. NEAR EAST)         ,2010,Female,7250.0,30.4,69.6,41.1,84.2,2.94,13.4,1020.0,0.0,47.0,442.0,0.0,393.0,20.7
Slovenia,EASTERN EUROPE                     ,2010,Female,102.0,72.2,27.9,12.6,82.7,5.26,12.0,1410.0,0.0,21.9,361.0,0.0,476.0,25.4
Solomon Islands,OCEANIA                            ,2010,Female,18.9,94.1,5.91,4.57,70.0,9.94,8.31,364.0,0.0,46.1,505.0,0.0,84.1,32.5
Somalia,SUB-SAHARAN AFRICA                 ,2010,Female,19.2,44.6,55.4,0.0,55.6,0.991,2.16,706.0,0.0,50.9,452.0,0.0,435.0,708.0
South Africa,SUB-SAHARAN AFRICA                 ,2010,Female,42.5,38.3,61.7,8.51,58.9,5.55,10.8,1480.0,0.0,35.2,398.0,0.0,7470.0,20100.0
South Korea,ASIA (EX. NEAR EAST)         ,2010,Female,510.0,52.9,47.1,34.6,83.7,4.04,13.8,564.0,0.0,32.0,503.0,0.0,16000.0,917.0
South Sudan,SUB-SAHARAN AFRICA                 ,2010,Female,16.5,0.0,0.0,0.0,54.6,1.15,1.53,509.0,0.0,45.0,490.0,0.0,333.0,570.0
Spain,WESTERN EUROPE                     ,2010,Female,93.8,70.6,29.4,20.7,84.9,4.41,12.7,1520.0,0.0,32.2,451.0,0.0,3780.0,381.0
Sri Lanka,ASIA (EX. NEAR EAST)         ,2010,Female,322.0,48.1,51.9,53.3,77.9,1.7,11.4,900.0,0.0,37.2,410.0,0.0,4860.0,1010.0
Suriname,LATIN AMER. & CARIB    ,2010,Female,3.37,51.2,48.8,21.4,73.7,3.44,9.26,1640.0,0.0,45.6,406.0,0.0,129.0,49.3
Swaziland,SUB-SAHARAN AFRICA                 ,2010,Female,69.9,61.4,38.6,0.0,54.1,0.0,9.14,491.0,0.0,60.5,414.0,0.0,180.0,233.0
Sweden,WESTERN EUROPE                     ,2010,Female,22.9,81.2,18.8,16.9,83.4,6.11,14.4,1450.0,0.0,39.3,261.0,0.0,1380.0,110.0
Switzerland,WESTERN EUROPE                     ,2010,Female,198.0,59.5,40.5,29.1,84.4,4.3,11.1,2710.0,0.0,38.8,345.0,0.0,1320.0,66.2
Syria,NEAR EAST                          ,2010,Female,114.0,50.5,49.5,54.0,76.8,2.6,8.29,1080.0,0.0,46.6,429.0,0.0,413.0,472.0
Tajikistan,C.W. OF IND. STATES ,2010,Female,54.6,23.6,76.3,70.4,72.8,3.58,10.4,560.0,0.0,36.4,365.0,0.0,348.0,194.0
Tanzania,SUB-SAHARAN AFRICA                 ,2010,Female,52.0,47.0,53.0,31.9,62.5,3.73,6.84,564.0,0.0,27.9,415.0,0.0,2490.0,3660.0
Thailand,ASIA (EX. NEAR EAST)         ,2010,Female,132.0,64.4,35.6,14.5,77.6,3.54,10.7,934.0,0.0,46.0,438.0,0.0,8380.0,4740.0
Togo,SUB-SAHARAN AFRICA                 ,2010,Female,120.0,29.5,70.5,62.6,58.1,4.54,5.36,684.0,0.0,43.6,427.0,0.0,540.0,221.0
Tonga,OCEANIA                            ,2010,Female,145.0,87.1,12.9,11.5,75.2,2.93,11.0,664.0,0.0,37.7,381.0,0.0,6.98,2.98
Trinidad and Tobago,LATIN AMER. & CARIB    ,2010,Female,259.0,52.9,47.1,46.6,73.4,2.87,13.3,1230.0,0.0,45.5,406.0,0.0,176.0,339.0
Tunisia,NORTHERN AFRICA                    ,2010,Female,68.5,51.5,48.5,42.1,77.1,5.86,9.47,717.0,0.0,74.4,460.0,0.0,417.0,110.0
Turkey,NEAR EAST                          ,2010,Female,94.0,67.8,32.2,16.9,77.6,3.49,8.88,1220.0,0.0,54.0,380.0,0.0,2220.0,1560.0
Turkmenistan,C.W. OF IND. STATES ,2010,Female,10.8,63.3,36.7,71.0,70.2,2.32,12.9,964.0,0.0,35.0,493.0,0.0,484.0,269.0
Tuvalu,OCEANIA                            ,2010,Female,351.0,99.9,0.11,0.645,0.0,0.0,0.0,721.0,0.0,39.1,83.4,0.0,0.0,0.0
Uganda,SUB-SAHARAN AFRICA                 ,2010,Female,170.0,25.3,74.7,33.1,58.9,2.1,6.54,465.0,0.0,43.6,511.0,0.0,3070.0,2150.0
Ukraine,C.W. OF IND. STATES ,2010,Female,79.0,59.5,40.5,40.8,74.9,6.05,12.8,780.0,0.0,39.7,361.0,0.0,11800.0,4120.0
United Arab Emirates,NEAR EAST                          ,2010,Female,98.9,59.0,41.0,17.9,77.8,0.0,12.2,1070.0,0.0,40.0,434.0,0.0,399.0,122.0
United Kingdom,WESTERN EUROPE                     ,2010,Female,262.0,81.9,18.1,9.82,82.3,5.5,13.8,3190.0,0.0,58.4,315.0,0.0,5600.0,439.0
United States,NORTHERN AMERICA                   ,2010,Female,33.7,44.1,55.9,12.2,81.0,4.84,13.1,2250.0,0.0,51.7,329.0,0.0,42300.0,17500.0
Uruguay,LATIN AMER. & CARIB    ,2010,Female,19.3,50.7,49.3,20.5,80.1,4.0,10.9,1760.0,0.0,54.7,406.0,0.0,629.0,168.0
Uzbekistan,C.W. OF IND. STATES ,2010,Female,67.2,43.3,56.7,46.5,72.9,9.37,11.7,504.0,0.0,33.9,381.0,0.0,3110.0,1000.0
Vanuatu,OCEANIA                            ,2010,Female,19.4,72.9,27.1,8.85,72.9,4.98,8.73,587.0,0.0,37.6,381.0,0.0,36.5,3.31
Venezuela,LATIN AMER. & CARIB    ,2010,Female,32.9,43.3,56.7,42.9,77.9,6.54,11.1,684.0,0.0,62.8,415.0,0.0,2610.0,11500.0
Vietnam,ASIA (EX. NEAR EAST)         ,2010,Female,285.0,26.4,73.6,37.4,80.0,5.36,9.39,863.0,0.0,34.2,417.0,0.0,7430.0,1850.0
Yemen,NEAR EAST                          ,2010,Female,44.7,33.9,66.1,74.0,64.9,3.6,3.19,925.0,0.0,50.2,540.0,0.0,1110.0,745.0
Zambia,SUB-SAHARAN AFRICA                 ,2010,Female,18.6,54.9,45.1,24.5,58.5,1.06,7.21,694.0,0.0,54.5,410.0,0.0,1170.0,1330.0
Zimbabwe,SUB-SAHARAN AFRICA                 ,2010,Female,36.4,38.4,61.6,36.5,54.1,1.91,9.93,889.0,0.0,27.5,396.0,0.0,2000.0,1410.0
